tensorflowJava,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\EagerOperationBuilderTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\EagerOperationBuilder.java
tensorflowJava,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\EagerOperationTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\EagerOperation.java
tensorflowJava,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\EagerSessionTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\EagerSession.java
tensorflowJava,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\GraphOperationBuilderTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\GraphOperationBuilder.java
tensorflowJava,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\GraphOperationTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\GraphOperation.java
tensorflowJava,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\GraphTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\Graph.java
tensorflowJava,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\SavedModelBundleTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\SavedModelBundle.java
tensorflowJava,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\SessionTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\Session.java
tensorflowJava,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\ShapeTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\Shape.java
tensorflowJava,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\TensorFlowTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\TensorFlow.java
tensorflowJava,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\TensorTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\Tensor.java
tensorflowJava,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\op\core\ConstantTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\op\core\Constant.java
tensorflowJava,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\op\core\GradientsTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\op\core\Gradients.java
tensorflowJava,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\op\core\ZerosTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\op\core\Zeros.java
tensorflowJava,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\op\ScopeTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\op\Scope.java
tensorflowJava,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\op\PrimitiveOpTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\op\PrimitiveOp.java
tensorflowJava,D:\GitHub\tensorflow\tensorflow\java\src\test\java\org\tensorflow\op\OperandsTest.java,D:\GitHub\tensorflow\tensorflow\java\src\main\java\org\tensorflow\op\Operands.java
tensorflowJavaLite,D:\GitHub\tensorflow\tensorflow\lite\java\src\test\java\org\tensorflow\lite\DataTypeTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\main\java\org\tensorflow\lite\DataType.java
tensorflowJavaLite,D:\GitHub\tensorflow\tensorflow\lite\java\src\test\java\org\tensorflow\lite\InterpreterTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\main\java\org\tensorflow\lite\Interpreter.java
tensorflowJavaLite,D:\GitHub\tensorflow\tensorflow\lite\java\src\test\java\org\tensorflow\lite\InterpreterFlexWithCustomOpsTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\main\java\org\tensorflow\lite\Interpreter.java
tensorflowJavaLite,D:\GitHub\tensorflow\tensorflow\lite\java\src\test\java\org\tensorflow\lite\InterpreterCustomizedAndroidBuildTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\main\java\org\tensorflow\lite\Interpreter.java
tensorflowJavaLite,D:\GitHub\tensorflow\tensorflow\lite\java\src\test\java\org\tensorflow\lite\InterpreterFlexTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\main\java\org\tensorflow\lite\Interpreter.java
tensorflowJavaLite,D:\GitHub\tensorflow\tensorflow\lite\java\src\test\java\org\tensorflow\lite\InterpreterMobileNetTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\main\java\org\tensorflow\lite\Interpreter.java
tensorflowJavaLite,D:\GitHub\tensorflow\tensorflow\lite\java\src\test\java\org\tensorflow\lite\TensorTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\main\java\org\tensorflow\lite\Tensor.java
tensorflowJavaLite,D:\GitHub\tensorflow\tensorflow\lite\java\src\test\java\org\tensorflow\lite\TensorFlowLiteTest.java,D:\GitHub\tensorflow\tensorflow\lite\java\src\main\java\org\tensorflow\lite\TensorFlowLite.java
